"Country or Area";"Year";"Value";"Value Footnotes"
"Afghanistan";"2019";"47.1";"1"
"Afghanistan";"2016";"54.5";"2"
"Afghanistan";"2011";"38.3";"3"
"Afghanistan";"2007";"33.7";"4"
"Albania";"2022";"19.7";"5"
"Albania";"2021";"20.6";"5"
"Albania";"2020";"22";"5"
"Albania";"2019";"21.8";"6"
"Albania";"2018";"23";"6"
"Albania";"2017";"23.4";"6"
"Albania";"2016";"23.7";"6"
"Albania";"2012";"14.3";"7"
"Albania";"2008";"12.4";"8"
"Albania";"2005";"18.5";""
"Albania";"2002";"25.4";""
"Algeria";"2011";"5.5";""
"Algeria";"1995";"22.6";"10"
"Algeria";"1988";"12.2";"10"
"Angola";"2018";"32.3";"11"
"Argentina";"2024";"38.1";"12"
"Argentina";"2023";"41.7";"12"
"Argentina";"2022";"39.2";"12"
"Argentina";"2021";"37.3";""
"Argentina";"2020";"42";"12"
"Argentina";"2019";"35.5";"12"
"Argentina";"2018";"32";""
"Argentina";"2017";"25.7";"13"
"Argentina";"2016";"30.3";"12"
"Armenia";"2023";"23.7";"14"
"Armenia";"2022";"24.8";"14"
"Armenia";"2021";"26.5";"14"
"Armenia";"2020";"27";"14"
"Armenia";"2019";"26.4";"14"
"Austria";"2021";"14.8";"6"
"Austria";"2020";"14.7";"6"
"Austria";"2019";"13.9";"6"
"Austria";"2018";"13.3";"6"
"Austria";"2017";"14.3";"6"
"Austria";"2016";"14.4";"6"
"Austria";"2015";"14.1";"6"
"Austria";"2014";"13.9";"6"
"Austria";"2013";"14.1";"6"
"Austria";"2012";"14.4";"6"
"Austria";"2011";"14.4";"6"
"Austria";"2010";"14.5";"6"
"Austria";"2009";"14.7";"6"
"Austria";"2008";"14.5";"6"
"Austria";"2007";"15.2";"6"
"Austria";"2006";"12";"6"
"Austria";"2005";"12.6";"6"
"Austria";"2004";"12.6";"6"
"Austria";"2003";"13";"6"
"Austria";"2002";"13.2";"6"
"Azerbaijan";"2012";"6";""
"Azerbaijan";"2011";"7.6";""
"Azerbaijan";"2010";"9.1";""
"Azerbaijan";"2009";"10.9";""
"Azerbaijan";"2008";"13.2";""
"Azerbaijan";"2007";"15.8";""
"Azerbaijan";"2001";"49.6";""
"Bangladesh";"2022";"18.7";""
"Bangladesh";"2016";"24.3";"15"
"Bangladesh";"2010";"31.5";"16"
"Bangladesh";"2005";"40";"17"
"Bangladesh";"2000";"48.9";"17"
"Bangladesh";"1995";"50.1";"18"
"Bangladesh";"1991";"56.6";"18"
"Barbados";"2016";"25.7";"19"
"Belarus";"2022";"3.9";""
"Belarus";"2021";"4.1";""
"Belarus";"2020";"4.8";""
"Belarus";"2019";"5";"20"
"Belarus";"2018";"5.6";"20"
"Belarus";"2017";"5.9";"20"
"Belarus";"2016";"5.7";"20"
"Belarus";"2015";"5.1";"20"
"Belarus";"2014";"4.8";"20"
"Belarus";"2013";"5.5";"20"
"Belarus";"2012";"6.3";"20"
"Belarus";"2011";"7.3";"20"
"Belarus";"2010";"5.2";""
"Belarus";"2009";"5.4";"20"
"Belarus";"2008";"6.1";"20"
"Belarus";"2007";"7.7";"20"
"Belarus";"2006";"11.1";"20"
"Belarus";"2005";"12.7";"20"
"Belarus";"2004";"17.8";"20"
"Belarus";"2003";"27.1";"20"
"Belarus";"2002";"30.5";"20"
"Belarus";"2001";"28.9";"20"
"Belarus";"2000";"41.9";"20"
"Belarus";"1999";"46.7";"21"
"Belarus";"1998";"33";"21"
"Belarus";"1997";"32.1";"21"
"Belarus";"1996";"38.6";"21"
"Belgium";"2022";"12.3";"6"
"Belgium";"2021";"13.2";"6"
"Belgium";"2020";"12.7";"6"
"Belgium";"2019";"14.1";"6"
"Belgium";"2018";"14.8";"6"
"Belize";"2018";"52";"22"
"Belize";"2009";"41.3";"22"
"Belize";"2002";"34.1";"22"
"Benin";"2021";"36.2";"23"
"Benin";"2019";"38.5";"24"
"Benin";"2015";"40.1";"23"
"Benin";"2011";"36.2";"23"
"Benin";"2010";"35.2";"23"
"Benin";"2007";"33";"23"
"Benin";"2006";"37.5";"23"
"Benin";"2003";"39";"25"
"Benin";"1999";"29";"26"
"Bhutan";"2022";"12.4";""
"Bhutan";"2017";"8.2";"27"
"Bhutan";"2012";"12";"27"
"Bhutan";"2007";"23.2";"27"
"Bhutan";"2003";"31.7";"28"
"Bolivia, Plurinational State of";"2023";"36.5";"28"
"Bolivia, Plurinational State of";"2022";"37.7";"28"
"Bolivia, Plurinational State of";"2021";"36.4";"28"
"Bolivia, Plurinational State of";"2020";"39";"28"
"Bolivia, Plurinational State of";"2019";"37.2";"29"
"Bolivia, Plurinational State of";"2018";"39.9";""
"Bolivia, Plurinational State of";"2017";"42.2";"28"
"Bolivia, Plurinational State of";"2016";"43";"28"
"Bosnia and Herzegovina";"2015";"16.9";""
"Bosnia and Herzegovina";"2011";"17.9";""
"Bosnia and Herzegovina";"2007";"18.2";""
"Bosnia and Herzegovina";"2004";"17.7";"30"
"Botswana";"2015";"16.1";"31"
"Botswana";"2009";"19.3";"31"
"Botswana";"2002";"30.6";"31"
"Botswana";"1993";"32.9";"32"
"Botswana";"1985";"59";"32"
"Bulgaria";"2023";"21.7";"6"
"Bulgaria";"2022";"20.6";"6"
"Bulgaria";"2021";"22.9";"6"
"Bulgaria";"2020";"22.1";"6"
"Bulgaria";"2019";"23.8";"6"
"Bulgaria";"2018";"22.6";"6"
"Bulgaria";"2017";"22";"6"
"Bulgaria";"2016";"23.4";"6"
"Bulgaria";"2015";"22.9";"6"
"Burkina Faso";"2021";"43.2";"33"
"Burkina Faso";"2018";"41.4";"33"
"Burundi";"2020";"51";"34"
"Burundi";"2013";"64.9";"35"
"Burundi";"2006";"67.1";"36"
"Burundi";"1998";"81";"37"
"C̫te d'Ivoire";"2021";"37.5";"38"
"C̫te d'Ivoire";"2018";"39.5";"39"
"C̫te d'Ivoire";"2015";"44.4";"39"
"Cabo Verde";"2023";"24.8";"40"
"Cabo Verde";"2015";"35.2";"41"
"Cabo Verde";"2007";"45.4";"41"
"Cabo Verde";"2001";"56.8";"41"
"Cabo Verde";"1988";"30.2";"42"
"Cambodia";"2012";"17.7";""
"Cambodia";"2011";"20.5";""
"Cambodia";"2010";"22.1";""
"Cambodia";"2009";"23.9";""
"Cambodia";"2008";"34";""
"Cambodia";"2006";"45";""
"Cambodia";"2003";"50.2";""
"Cambodia";"1994";"47";"43"
"Cameroon";"2021";"37.7";""
"Cameroon";"2014";"37.5";"44"
"Cameroon";"2007";"39.9";"45"
"Cameroon";"2001";"40.2";"45"
"Cameroon";"1996";"53.3";"46"
"Central African Republic";"2021";"68.8";"47"
"Central African Republic";"2008";"62";"48"
"Central African Republic";"1992";"62.4";"49"
"Chad";"2022";"44.8";"50"
"Chad";"2018";"42.3";"50"
"Chile";"2022";"6.5";"51"
"Chile";"2020";"10.7";"51"
"Chile";"2017";"8.5";"51"
"Chile";"2015";"11.2";"51"
"Chile";"2013";"13.9";"51"
"Chile";"2011";"21.7";"51"
"Chile";"2009";"24.8";"51"
"Chile";"2006";"28.7";"51"
"Chile";"2003";"35.4";""
"Chile";"2000";"36";"52"
"Chile";"1998";"21.6";"53"
"Chile";"1996";"23.2";"53"
"Chile";"1994";"27.7";"53"
"Chile";"1992";"32.8";"53"
"Chile";"1990";"38.6";"53"
"Chile";"1987";"45.1";"53"
"China";"2020";"0";"54"
"China";"2019";"0.6";"54"
"China";"2018";"1.7";"55"
"China";"2017";"3.1";"56"
"China";"2016";"4.5";"56"
"China";"2015";"5.7";"56"
"China";"2014";"7.2";"56"
"China";"2013";"8.5";"56"
"China";"2012";"10.2";"56"
"China";"2011";"12.7";"56"
"China";"2010";"17.2";"56"
"China";"2005";"30.2";"56"
"China";"2000";"49.8";"57"
"Colombia";"2024";"31.8";"58"
"Colombia";"2023";"34.6";"58"
"Colombia";"2022";"36.6";"58"
"Colombia";"2021";"39.7";"59"
"Colombia";"2020";"43.1";"58"
"Colombia";"2019";"36.5";"60"
"Colombia";"2018";"35.5";"60"
"Colombia";"2017";"35.9";"60"
"Colombia";"2016";"36.8";"60"
"Colombia";"2015";"36.8";"60"
"Colombia";"2014";"37";"60"
"Colombia";"2013";"38.7";"60"
"Colombia";"2012";"41";"60"
"Comoros";"2020";"44.8";"61"
"Comoros";"2013";"42.4";"62"
"Congo, Democratic Republic of";"2020";"56.2";"63"
"Congo, Democratic Republic of";"2012";"63.9";"64"
"Congo, Democratic Republic of";"2004";"69.3";"64"
"Congo, Republic of";"2011";"40.9";"65"
"Congo, Republic of";"2005";"50.7";"65"
"Costa Rica";"2024";"20.3";"66"
"Costa Rica";"2023";"24.4";"66"
"Costa Rica";"2022";"25.5";"67"
"Costa Rica";"2021";"26.2";"68"
"Costa Rica";"2020";"30";"69"
"Costa Rica";"2019";"23.9";"70"
"Costa Rica";"2018";"22.9";"70"
"Costa Rica";"2017";"22.1";"71"
"Costa Rica";"2016";"22.9";"71"
"Costa Rica";"2015";"23.6";"71"
"Costa Rica";"2014";"24.6";"71"
"Costa Rica";"2013";"23.3";"71"
"Costa Rica";"2012";"23.5";"71"
"Costa Rica";"2011";"24.8";"71"
"Costa Rica";"2010";"24.2";"66"
"Costa Rica";"2009";"18.5";"72"
"Costa Rica";"2008";"17.7";"72"
"Costa Rica";"2007";"16.7";"72"
"Costa Rica";"2006";"20.2";"72"
"Costa Rica";"2005";"21.2";"72"
"Costa Rica";"2004";"21.7";"72"
"Costa Rica";"2003";"18.5";"72"
"Costa Rica";"2002";"20.6";"72"
"Costa Rica";"2001";"20.3";"72"
"Costa Rica";"2000";"20.6";"72"
"Costa Rica";"1999";"20.6";"73"
"Costa Rica";"1998";"19.7";"73"
"Costa Rica";"1997";"20.7";"73"
"Costa Rica";"1996";"21.5";"73"
"Costa Rica";"1995";"20.4";"73"
"Costa Rica";"1994";"20";"73"
"Costa Rica";"1993";"23.2";"73"
"Costa Rica";"1992";"29.4";"73"
"Costa Rica";"1991";"31.9";"73"
"Costa Rica";"1990";"27.1";"73"
"Costa Rica";"1989";"28.3";"73"
"Croatia";"2023";"20.3";"6"
"Croatia";"2020";"19.2";"6"
"Croatia";"2019";"18.3";"6"
"Croatia";"2018";"18.3";"6"
"Croatia";"2017";"19.3";"6"
"Croatia";"2016";"20";"6"
"Croatia";"2015";"19.5";"6"
"Croatia";"2014";"20";"6"
"Croatia";"2013";"19.4";"6"
"Croatia";"2012";"19.5";"6"
"Croatia";"2011";"20.4";"6"
"Croatia";"2010";"20.9";"6"
"Croatia";"2009";"20.6";"6"
"Cyprus";"2021";"13.9";"6"
"Cyprus";"2020";"13.8";"6"
"Cyprus";"2019";"14.3";"6"
"Cyprus";"2018";"14.7";"6"
"Cyprus";"2017";"15.4";"6"
"Cyprus";"2016";"15.7";"6"
"Cyprus";"2015";"16.1";"6"
"Cyprus";"2014";"16.2";"6"
"Cyprus";"2013";"14.4";"6"
"Cyprus";"2012";"15.3";"6"
"Cyprus";"2011";"14.7";"6"
"Cyprus";"2010";"14.8";"6"
"Cyprus";"2009";"15.6";"6"
"Cyprus";"2008";"15.8";"6"
"Cyprus";"2007";"15.9";"6"
"Cyprus";"2006";"15.5";"6"
"Cyprus";"2005";"15.6";"6"
"Cyprus";"2004";"16.1";"6"
"Czechia";"2021";"10.2";"6"
"Czechia";"2020";"8.6";"6"
"Czechia";"2019";"9.5";"6"
"Czechia";"2018";"10.1";"6"
"Czechia";"2017";"9.6";"6"
"Czechia";"2016";"9.1";"6"
"Czechia";"2015";"9.7";"6"
"Czechia";"2014";"9.7";"6"
"Czechia";"2013";"9.7";"6"
"Czechia";"2012";"8.6";"6"
"Czechia";"2011";"9.6";"6"
"Czechia";"2010";"9.8";"6"
"Czechia";"2009";"9";"6"
"Czechia";"2008";"8.6";"6"
"Czechia";"2007";"9";"6"
"Czechia";"2006";"9.6";"6"
"Czechia";"2005";"9.9";"6"
"Czechia";"2004";"10.4";"6"
"Denmark";"2021";"12.4";"6"
"Denmark";"2020";"12.3";"6"
"Denmark";"2019";"12.1";"6"
"Djibouti";"2017";"21.1";""
"Dominican Republic";"2024";"19";"74"
"Dominican Republic";"2023";"23";"74"
"Dominican Republic";"2022";"27.7";"74"
"Dominican Republic";"2021";"30.7";""
"Dominican Republic";"2020";"30.4";""
"Dominican Republic";"2019";"25.8";"74"
"Dominican Republic";"2018";"28.3";"74"
"Dominican Republic";"2017";"31.2";"74"
"Dominican Republic";"2016";"34.8";"75"
"Ecuador";"2024";"28";"76"
"Ecuador";"2023";"26";"76"
"Ecuador";"2022";"25.2";"76"
"Ecuador";"2021";"27.7";"76"
"Ecuador";"2020";"33";"76"
"Ecuador";"2019";"25";"76"
"Ecuador";"2018";"23.2";"76"
"Ecuador";"2017";"21.5";"76"
"Ecuador";"2016";"22.9";"76"
"Ecuador";"2015";"23.3";"76"
"Ecuador";"2014";"22.5";"76"
"Ecuador";"2013";"25.6";"76"
"Ecuador";"2012";"27.3";"76"
"Ecuador";"2011";"28.6";"76"
"Ecuador";"2010";"32.8";"76"
"Ecuador";"2009";"36";"76"
"Ecuador";"2008";"35.1";"76"
"Ecuador";"2007";"36.7";"76"
"Ecuador";"2006";"37.6";"76"
"Ecuador";"2005";"42.2";"77"
"Ecuador";"2004";"44.6";"77"
"Ecuador";"2003";"49.9";"77"
"Ecuador";"2001";"54.9";"78"
"Ecuador";"2000";"64.4";"77"
"Egypt, Arab Republic of";"2021";"33.5";""
"Egypt, Arab Republic of";"2017";"32.5";"79"
"Egypt, Arab Republic of";"2015";"27.8";"79"
"El Salvador";"2023";"27.2";"80"
"El Salvador";"2022";"26.6";"81"
"El Salvador";"2021";"24.6";"82"
"El Salvador";"2020";"26.2";"83"
"Equatorial Guinea";"2022";"50.7";"84"
"Equatorial Guinea";"2006";"76.8";"85"
"Eritrea";"1993";"69";"86"
"Estonia";"2022";"22.5";"6"
"Estonia";"2021";"22.8";"6"
"Estonia";"2020";"20.6";"6"
"Estonia";"2019";"20.7";"6"
"Estonia";"2018";"21.7";"6"
"Estonia";"2017";"21.9";"6"
"Estonia";"2016";"21";"6"
"Estonia";"2015";"21.7";"6"
"Estonia";"2014";"21.6";"6"
"Estonia";"2013";"21.8";"6"
"Estonia";"2012";"18.6";"6"
"Estonia";"2011";"17.5";"6"
"Estonia";"2010";"17.5";"6"
"Estonia";"2009";"15.8";"6"
"Estonia";"2008";"19.7";"6"
"Estonia";"2007";"19.5";"6"
"Estonia";"2006";"19.4";"6"
"Estonia";"2005";"18.3";"6"
"Estonia";"2004";"18.3";"6"
"Estonia";"2003";"20.2";"6"
"Eswatini";"2016";"58.9";"87"
"Eswatini";"2009";"63";"87"
"Eswatini";"2000";"69";"87"
"Eswatini";"1994";"66";"88"
"Ethiopia";"2021";"33.1";"89"
"Ethiopia";"2015";"23.5";"90"
"Ethiopia";"2010";"29.6";"90"
"Ethiopia";"2004";"38.7";"90"
"Ethiopia";"1999";"44.2";"91"
"Ethiopia";"1995";"45.5";"91"
"Fiji";"2019";"24.1";"92"
"Finland";"2022";"12.2";"6"
"Finland";"2021";"12.7";"6"
"Finland";"2020";"10.8";"6"
"Finland";"2019";"12.2";"6"
"Finland";"2018";"11.6";"6"
"Finland";"2017";"12";"6"
"Finland";"2016";"11.5";"6"
"Finland";"2015";"11.6";"6"
"Finland";"2014";"12.4";"6"
"Finland";"2013";"12.8";"6"
"Finland";"2012";"11.8";"6"
"Finland";"2011";"13.2";"6"
"Finland";"2010";"13.7";"6"
"Finland";"2009";"13.1";"6"
"Finland";"2008";"13.8";"6"
"Finland";"2007";"13.6";"6"
"Finland";"2006";"13";"6"
"Finland";"2005";"12.6";"6"
"Finland";"2004";"11.7";"6"
"Finland";"2003";"11";"6"
"France";"2021";"15.6";"6"
"France";"2019";"13.8";"6"
"Gabon";"2017";"33.4";"93"
"Gabon";"2005";"32.7";"94"
"Gambia, The";"2020";"53.4";"95"
"Gambia, The";"2015";"48.6";"96"
"Gambia, The";"2010";"48.1";"97"
"Georgia";"2024";"9.4";"98"
"Georgia";"2023";"11.8";"98"
"Georgia";"2022";"15.6";"98"
"Georgia";"2021";"17.5";"98"
"Georgia";"2020";"21.3";"99"
"Georgia";"2019";"19.5";"99"
"Georgia";"2018";"20.1";"99"
"Georgia";"2017";"21.9";"99"
"Georgia";"2016";"22";"99"
"Georgia";"2015";"21.6";"99"
"Georgia";"2014";"23.5";"99"
"Georgia";"2013";"26.2";"99"
"Georgia";"2012";"30";"99"
"Georgia";"2011";"34.1";"99"
"Georgia";"2010";"37.3";"99"
"Georgia";"2009";"34.9";"99"
"Georgia";"2008";"34.9";"99"
"Georgia";"2007";"38.8";"99"
"Georgia";"2006";"36.9";"99"
"Georgia";"2005";"35.4";"100"
"Georgia";"2004";"34.3";"100"
"Germany";"2021";"14.8";"6"
"Germany";"2020";"16";"6"
"Germany";"2019";"16.1";"6"
"Ghana";"2016";"23.4";"101"
"Ghana";"2012";"24.2";"102"
"Ghana";"2005";"31.9";"103"
"Ghana";"1998";"39.5";"104"
"Ghana";"1991";"51.7";"104"
"Greece";"2021";"18.8";"6"
"Greece";"2020";"19.6";"6"
"Greece";"2019";"17.7";"6"
"Greece";"2018";"17.9";"6"
"Greece";"2017";"18.5";"6"
"Greece";"2016";"20.2";"6"
"Greece";"2015";"21.2";"6"
"Greece";"2014";"21.4";"6"
"Greece";"2013";"22.1";"6"
"Greece";"2012";"23.1";"6"
"Greece";"2011";"23.1";"6"
"Greece";"2010";"21.4";"6"
"Greece";"2009";"20.1";"6"
"Greece";"2008";"19.7";"6"
"Greece";"2007";"20.1";"6"
"Greece";"2006";"20.3";"6"
"Greece";"2005";"20.5";"6"
"Greece";"2004";"19.6";"6"
"Greece";"2003";"19.9";"6"
"Greece";"2002";"20.7";"6"
"Grenada";"2018";"25";"105"
"Guatemala";"2023";"56";"106"
"Guatemala";"2014";"59.3";"106"
"Guatemala";"2006";"51";"106"
"Guatemala";"2000";"56";"106"
"Guinea";"2018";"43.7";"107"
"Guinea-Bissau";"2021";"50.5";"108"
"Guinea-Bissau";"2018";"47.7";"109"
"Guinea-Bissau";"2010";"48.7";"110"
"Guinea-Bissau";"2002";"64.7";""
"Guinea-Bissau";"1993";"58.5";"111"
"Guinea-Bissau";"1991";"49";"112"
"Haiti";"2012";"58.5";"113"
"Haiti";"2001";"77";"114"
"Haiti";"2000";"48";"115"
"Haiti";"1987";"59.6";"116"
"Honduras";"2024";"62.9";"117"
"Honduras";"2023";"64.1";"118"
"Honduras";"2021";"73.6";""
"Honduras";"2019";"48";"119"
"Honduras";"2018";"50.4";"119"
"Honduras";"2017";"49.8";"119"
"Honduras";"2016";"49.7";"119"
"Honduras";"2015";"51.5";"119"
"Honduras";"2014";"49.7";"119"
"Hungary";"2021";"12.1";"6"
"Hungary";"2020";"12.6";"6"
"Hungary";"2019";"12.3";"6"
"Hungary";"2018";"12.3";"6"
"Hungary";"2017";"12.8";"6"
"Hungary";"2016";"13.4";"6"
