Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2019","YR2019","88.318227973516"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2020","YR2020","89.26992229666"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2021","YR2021","90.683408773517"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2022","YR2022","90.8931906613085"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2023","YR2023","92.463639353696"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2013","YR2013","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2014","YR2014","97.0206527709961"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2015","YR2015","97.0939331054688"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2016","YR2016","96.8901824951172"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2017","YR2017","96.9631505375797"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2018","YR2018","97.0852584838867"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2019","YR2019","97.1908187866211"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2020","YR2020","97.2358464399196"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2021","YR2021","97.9603789765694"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2022","YR2022","98.0615729035049"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2023","YR2023","98.1784897668191"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Switzerland","CHE","2024","YR2024","98.1873131956611"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2013","YR2013","2.11783009790057"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2014","YR2014","2.52381981363968"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2015","YR2015","2.94555045484053"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2016","YR2016","1.81945147788167"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2017","YR2017","2.45762229852507"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2018","YR2018","2.96650506901305"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2019","YR2019","2.58382533412825"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2020","YR2020","-2.16302914036166"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2021","YR2021","6.05505293244555"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2022","YR2022","2.51237531986017"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2023","YR2023","2.88755600749487"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United States","USA","2024","YR2024","2.79300127716779"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2013","YR2013","1.71846961308464"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2014","YR2014","3.16017351468152"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2015","YR2015","2.14040560033371"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2016","YR2016","2.20652020635357"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2017","YR2017","3.02322219840339"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2018","YR2018","1.55133095078786"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2019","YR2019","1.25629899760824"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2020","YR2020","-10.047896637362"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2021","YR2021","8.5431118453255"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2022","YR2022","5.14970388522993"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2023","YR2023","0.271650048355255"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","United Kingdom","GBR","2024","YR2024","1.1264226705118"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2013","YR2013","-1.42732224757626"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2014","YR2014","1.52048593647231"
