Country.Name,Country.Code,Time,ed_attain_low_sec,gini_index,labor_adv_edu,edu_exp_public,gdp_per_capita,cancellazioni
Brazil,BRA,2017,59.1219291687012,53.3,83.461,97.5223693847656,14559.0488897884,2693
Brazil,BRA,2018,60.0145111083984,53.9,83.228,96.9330520629883,15463.7426393743,3630
Brazil,BRA,2019,63,53.5,83.399,97.0306930541992,16069.838015161,2270
Brazil,BRA,2020,65.2,48.8,80.02,96.2684478759766,16101.6183062954,1198
Brazil,BRA,2021,66.2,52.9,80.86,94.9770431518555,18075.7060048757,663
Brazil,BRA,2022,66.5,51.9,82.262,95.2666473388672,19876.8533531396,840
Brazil,BRA,2023,67.2,51.5,82.136,NA,21175.6186988214,933
Belgium,BEL,2013,81.5879364013672,27.7,75.745,94.4083862304688,43864.1204196838,491
Belgium,BEL,2014,82.3405303955078,28.1,75.737,95.1755676269531,45147.6429534057,528
Belgium,BEL,2015,84.3579177856445,27.7,75.022,94.9603424072266,46071.914889496,573
Belgium,BEL,2016,84.7895202636719,27.6,75.054,94.4400863647461,48414.5518065681,597
Belgium,BEL,2017,86.5041732788086,27.4,75.717,94.8713226318359,50256.0631772784,611
Belgium,BEL,2018,87.3258293777923,27.2,74.824,94.5508499145508,52466.7330784599,675
Belgium,BEL,2019,88.4269638061523,27.2,75.138,94.6488876342773,56712.469571978,756
Belgium,BEL,2020,88.2376237341186,26,75.472,94.8558807373047,56120.0958420466,1058
Belgium,BEL,2021,88.5607173632664,26.6,75.313,95.2352981567383,60669.2137746531,930
Belgium,BEL,2022,88.7167430084043,26.4,75.994,95.4406433105469,69128.1388883843,1300
Belgium,BEL,2023,88.857280524325,26.8,75.902,NA,71946.1447190292,1728
Ireland,IRL,2013,84.0076737757631,33.5,81.398,94.1724700927734,48838.7719825525,294
Ireland,IRL,2014,86.8811158408756,31.9,80.534,93.7669219970703,52640.7843918553,335
Ireland,IRL,2015,87.1459000285528,31.8,80.933,93.1129302978516,71588.2656638378,402
Ireland,IRL,2016,87.3533462958035,32.8,80.82,92.5962982177734,73012.8198720374,577
Ireland,IRL,2017,86.1611022949219,31.4,81.11,94.729621887207,80450.3529336506,775
Ireland,IRL,2018,88.2008757922225,30.6,81.308,94.7925415039062,86299.3420216976,769
Ireland,IRL,2019,88.318227973516,30.3,81.153,93.8270568847656,92022.59879983,848
Ireland,IRL,2020,89.26992229666,29.2,80.606,92.8661117553711,97799.9225748607,720
Ireland,IRL,2021,90.683408773517,29.4,81.954,100,116903.61243517,524
Ireland,IRL,2022,90.8931906613085,29.9,83.201,NA,138522.517800204,623
Ireland,IRL,2023,92.463639353696,29,82.42,NA,129682.607150517,1121
Switzerland,CHE,2014,97.0206527709961,32.5,80.685,90.0399398803711,63417.0438110319,2397
Switzerland,CHE,2015,97.0939331054688,32.3,80.574,89.7573165893555,65265.04573356,2652
Switzerland,CHE,2016,96.8901824951172,33,80.987,89.4042816162109,67350.7518747757,2624
Switzerland,CHE,2017,96.9631505375797,32.7,81.037,NA,68193.5055940262,2393
Switzerland,CHE,2018,97.0852584838867,33.1,81.36,NA,70688.8187491194,2336
Switzerland,CHE,2019,97.1908187866211,34,81.693,NA,73732.2353322093,2127
Switzerland,CHE,2020,97.2358464399196,33.7,81.272,NA,72997.8239503282,2605
Switzerland,CHE,2021,97.9603789765694,33.8,80.847,NA,81001.4111206118,2433
Switzerland,CHE,2022,98.0615729035049,33.8,79.766,NA,94421.4576550424,3079
Switzerland,CHE,2023,98.1784897668191,NA,80.435,NA,95141.5960943632,3874
Switzerland,CHE,2024,98.1873131956611,NA,80.044,NA,96497.6947971323,4206
United Kingdom,GBR,2015,NA,33.3,84.227,97.3840789794922,42515.278865824,4131
United Kingdom,GBR,2016,NA,33.1,84.118,97.6972198486328,44085.2025586772,5661
United Kingdom,GBR,2018,NA,33.7,84.291,97.6850814819336,47212.2045190522,4601
