DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2023,9657.6,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2024,9896.4,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2013,83391.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2014,84473.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2015,85393.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2016,86640.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2017,87847.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2018,88758.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2019,89771.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2020,88289.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2021,89151.9,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2022,91437.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2023,92666.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,European Union - 27 countries (from 2020),2024,93585.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2013,12252.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2014,12607.2,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2015,12662.5,,
