Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
France,FRA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,88.7270499727759,88.38928029242,88.4100189675655,88.1862090516996,88.3979428581463,88.3540110892777,87.9070520695251,87.5955350766688,87.3864875566232,86.8931213231878,87.0811939245382,86.6614379280463
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.781756446231,0.997832947295251,1.06675474783462,0.860031075424033,2.08361485997399,1.64590872395887,2.02744646419237,-7.44064589948231,6.88233783360239,2.71676264185913,1.43921494437743,1.19046798275883
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.26214454973659,0.519383764691739,0.708030590350688,0.594243752389232,1.78779549384231,1.28216603702126,1.68870844116209,-7.74056751254994,6.50155219757207,2.20208858513766,1.16054609449012,0.925700761599856
China,CHN,Gini index,SI.POV.GINI,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,..,..
China,CHN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.29799397401945,1.09109126562731,0.137261200602396,1.47744121334065,4.14602237470578,3.46789777292169,1.31550650702985,0.53000081660457,4.47386132078888,1.93427407840763,-0.50570453916356,-0.707200009795585
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.929,3.058,3.296,3.831,3.775,4.93,5.15,5.61,5.11,4.569,..,..
China,CHN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,57.4035224223721,57.9616318569844,58.4918785409595,58.9979972079061,59.4863204387101,59.9664192007385,60.4384345294744,60.4619293602765,60.7328948874263,61.1427650636135,61.5504608675359,61.9498444163596
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.77872409446717,7.46190028229434,6.97878002657477,6.77555562837017,6.8912663621211,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675,4.9773565917572
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.06322465705706,6.78666987945924,6.35855026398104,6.16542718232793,6.24626618729064,6.25861232477357,5.6929006014863,2.09686667315867,8.47322717245602,3.14769982133814,5.52431494678926,5.10662482837367
Brazil,BRA,Gini index,SI.POV.GINI,52.7,52.1,51.9,53.4,53.3,53.9,53.5,48.8,52.9,51.9,51.5,50.3
Brazil,BRA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,7.50456453269075,7.84670975119843,7.56617500786905,8.10360437332622,3.67138450418945,4.49353432783231,4.22425886378237,6.47249962311274,13.0472708596343,8.57028196142548,5.15950107501996,4.07967448439621
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947,6.801
Brazil,BRA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,70.5306933721907,70.6380774511164,69.471260551692,69.1017376708992,68.4883037113466,68.1019662970011,67.7840573288815,67.4937055183708,66.4827575723646,67.8725666461771,68.7717287083402,69.4925308014466
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.0048226702888,0.503955740273241,-3.54576339347278,-3.2759169063211,1.32286905390815,1.78366676137003,1.22077782271943,-3.27675879612903,4.7626043797061,3.01669435408112,3.24165532813583,3.41931516597739
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.17333080616082,-0.303163572469245,-4.30639755989316,-4.01012719205779,0.587668928601474,1.09040860420944,0.562970836695342,-3.83550546624957,4.3179316178023,2.64631532426549,2.83370012768067,3.00083291987643
Belgium,BEL,Gini index,SI.POV.GINI,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,26.4,26.8,..
